,base_notes,brand,gender,heart_notes,olfactory_family,perfume_name,top_notes
12,"oakmoss,sandalwood,rosemary",Paco Rabanne,men,"geranium,coriander,juniper berries",aromatic,Xs Pour Homme (2018),"lemon,bergamot,mint"
13,"sandalwood,tonka bean,vanilla",Farmacia SS. Annunziata,women,"heliotrope,chocolate,talcum,vanilla blossom",powdery,Xllence - Talc Gourmand,"honey,caramel,talcum"
14,"amber,patchouli,musk,cedar",Xerjoff,unisex,"rose,lily of the valley,mint",citrus,Xj 1861 Renaissance,"tangerine,petitgrain,bergamot"
15,"cedar,patchouli,leather,marine notes",Clinique,women,"rose,cyclamen,iris,hyacinth",floral,Wrappings,"artemisia,lavender,mace,aldehyde notes"
16,"white woods,cedar,ambroxan",Dsquared2,women,"osmanthus,jasmine",floral,Wood Pour Femme,"tangerine,raspberry leaves,magnolia,lily of the valley"
17,"cedar wood,musk",Jenny Glow,unisex,"peach,water notes",fruity,Wood & Sage,lemon
18,"benzoin,oakmoss,leather,styrax,vetiver,cedar",Jil Sander,women,"gardenia,jasmine,lily of the valley,carnation,rose,tuberose,ylang-ylang",chypre,Woman Pure,"aldehydes,bergamot,leaves,galbanum,coriander"
19,"sandalwood,amber,cedar",Mexx,women,"jasmine,lily of the valley,rose",citrus,Woman,"black currant,bergamot,lemon"
20,"sandalwood,vetiver,white musks,tonka bean,vanilla absolute",Joop!,men,"benzoin,cedar,patchouli leaves,coriander seed",oriental,Wolfgang Joop,"orange blossom,clary sage,lavender,mandarin"
21,"patchouli,vanilla",Chopard,women,"heliotrope,iris,magnolia",oriental,Wish Magical Nights,"acacia,pear,red berries"
22,"amber,vanilla,sandalwood,caramel",Tiziana Terenzi,unisex,"agar wood,pepper,peony,jasmine",floral,Wirtanen,"rose,ylang-ylang,bergamot"
23,"vanilla,sandalwood,orris,musk",Swiss Arabian,women,"tuberose,jasmine,fruity notes",floral,Wild Spirit,"orange,green notes,bergamot"
24,"balsamic notes,labdanum,myrrh,sandalwood",Just Jack,women,"jasmine,rose,orange blossom",aromatic,Wild Orchid,"bergamot,honey,orange"
25,"musk,cedar",Jo Malone,unisex,stone pine,green,Wild Fig & Cassis,"fig,blackcurrant"
26,"musk,vanilla",Mancera,unisex,"orris,jasmine,patchouli,heliotrope",aromatic,Wild Cherry,"bergamot,lemon,cherry"
27,"musk,sandalwood",Franck Olivier,women,"jasmine,violet,freesia,rose,artemisia",aromatic,White Touch,"water lily,melon,pear,black currant"
28,"amber,maté,tonka beans,musk",Elizabeth Arden,women,"clary sage,turkish rose,bulgarian rose,peony",floral,White Tea Wild Rose,"pear blossom,red currant,palmarosa,white tea"
29,ambroxan,Juliette Has A Gun,women,sandalwood,synthetic,White Spirit,tuberose
30,"amber,heliotrope,vanilla orchid",Ted Lapidus,women,"jasmine sambac,orange blossom",floral,White Soul Gold & Diamonds,"neroli,tangerine"
31,"vanilla,cashmere wood,musk",George Gina & Lucy,women,"hibiscus,jasmine,white rose",powdery,White Russian,"apple blossom,red berries"
32,silver birch,Shay & Blue,unisex,elderflower sorbet,fruity,White Peaches,peach
33,"narcissus,petitgrain,siberian fir",Yosh,unisex,"lilac,gardenia,lily of the valley,moroccan rose,tuberose",floral,White Flowers 1.41,"freesia,jasmine sambac,night-blooming jasmine,tea rose,violet,sweet pea"
34,"patchouli,cedar,amber,frankincense,musk",Matea Nesek,women,"chinese rose,lotus,red apple,freesia,spicy notes",fruity,White Collection Secret,"grapefruit,bergamot,peach,pineapple,rose"
35,"woody notes,leather,amber",Matea Nesek,men,"woody notes,sandalwood,cedar wood",woody,White Collection Performance,lavender
36,"vanilla,cedar wood,white musk",Matea Nesek,women,"jasmine,rose",fruity,White Collection Forever,"raspberry,black currant"
37,"vanilla,tonka beans,moss,musk",Matea Nesek,men,"clary sage,rose,rosewood",woody,White Collection Attitude,"lavender,rosemary,bergamot,lemon"
38,"cedar wood,musk,vanilla",Mexx,women,"violet,mirabelle plum,rhubarb,jasmine",fruity,Whenever Wherever For Her,"pear,green leaves,tangerine"
39,"amber,ebony,vetiver,benzoin",The House of Oud,unisex,"queen-of-the-night,milk,vanilla",gourmand,What About Pop,"salted popcorn,hawthorn,caramel"
40,"patchouli,sandalwood,oakmoss,leather",Joop!,men,"geranium,jasmine,cyclamen,rosewood",aromatic,What About Adam,"lavender,mandarin,orange,rhubarb"
41,"amber,vanilla",Alexandre.J,men,"lavender,cardamom,patchouli,rosemary,vetiver",leather,Western Leather Black,"lime,lemon,orange"
42,oakmoss,Truefitt & Hill,men,"floral notes,orange blossom,rose,lilac",citrus,West Indian Limes,"amalfi lemon,lime,orange"
43,"patchouli,sandalwood,iris",Crabtree & Evelyn,men,"nutmeg,coriander,rosemary",citrus,West Indian Lime,"lime,lemon,mandarin orange"
44,"sun notes,sandalwood,amber",Hollister,women,"orchid,hibiscus,poppy",fruity,Wave,cassis
45,"musks,gaiac wood",Aerin,women,"sambac jasmine,water lily",floral,Waterlily Sun,"gardenia,bergamot,watery note,dewy greens"
46,"vanilla,cocoa,sandalwood",Bath & Body Works,women,"vanilla,tonka bean,sugar,coconut,jasmine",gourmand,Warm Vanilla Sugar,"vanilla,white orchid"
47,"amber,musk,fougère notes",Clean,women,"lilac,jasmine,orange blossom,fruity notes,marine notes",synthetic,Warm Cotton,"citrus notes,vervain"
48,"haitian vetiver,tonka beans",Azzaro,women,"datura,caramel",oriental,Wanted Girl,"ginger flower,pomegranate"
49,"cedar,cypress,tobacco",Azzaro,men,"red cedar,cumin,incense",spicy,Wanted By Night,"tangerine,cinnamon"
50,"amberwood,musk,resins",Swiss Arabian,men,"jasmine,coriander,violet,cinnamon",citrus,Walaa,"bergamot,lavender,geranium,mandarin orange"
51,"amber,balsam,musk,vanilla",Swiss Arabian,unisex,"patchouli,orris",fruity,Wajd,"turkish rose,fruity notes,apple"
52,"vanilla,amyris,vetiver",Ex Nihilo,unisex,"cypress,milky notes",woody,Vétiver Moloko,"rose,bergamot"
53,"vetiver essence,undergrowth notes",Frédéric Malle,unisex,woody accord,woody,Vétiver Extraordinaire,fresh notes
54,"cedar wood,patchouli,amber",Armaf,men,"jasmine,ginger,bay leaf",aromatic,Voyage Intense,"lemon,orange blossom,pink pepper"
55,"amber,moss,musk,cedar",Nautica,men,"lotus,mimosa",aquatic,Voyage,"apple,leaves"
56,"benzoin,musk,amber,sandalwood",L'Artisan Parfumeur,unisex,"patchouli,rose",woody,Voleur De Roses,"bergamot,plum,geranium"
57,"sandalwood,oakmoss,leather accord,ambroxan",By Kilian,unisex,"rose,lily-of-the-valley,rhubarb",aromatic,Vodka On The Rocks,"coriander,cardamom note,aldehyde notes"
58,"bourbon vanilla,moss",Valentino,women,"jasmine sambac,orange blossom",floral,Voce Viva Intensa,"bergamot,mandarin orange blossom"
59,"caramel,sandalwood,vanilla",Juicy Couture,women,"gardenia,jasmine,honey suckle",fruity,Viva La Juicy La Fleur,"water lily,tangerine,currant"
60,"amber,musk",Azzaro,men,"cedar,guaiac wood,frankincense",spicy,Visit,"cardamom,nutmeg,pepper"
61,"sugarcane,musk,rum",Creed,unisex,"hibiscus,jasmine,ylang-ylang,ginger",citrus,Virgin Island Water,"bergamot,coconut,lime,tangerine"
62,"amber,musk,patchouli",Christina Aguilera,women,"orange blossom,iris,rose",oriental,Violet Noir,"nectarine blossom,passionfruit,grapefruit"
63,"vanilla,liquidambar",Miller Harris,women,"orris butter,heliotrope",powdery,Violet Ida,"italian bergamot,carrot"
64,"spicy notes,ambergris,oakmoss,wood",Afnan,women,"aromatic notes,amber,orange,citrus fruit",aromatic,Violet Bouquet,"sweet notes,woody notes,saffron,citrus fruit"
65,"sandalwood,frankincense,patchouli,cedarwood,vetiver",Creed,unisex,"lavender,geranium,nutmeg,rosemary,sage",chypre,Viking Cologne,"lemon,bergamot,mandarin orange,pink pepper"
66,"cedar wood,musk,vanilla",Adidas,men,"pear,cinnamon,lavender",spicy,Victory League Edition 2022,"bergamot,basil,green notes"
67,"musk,iris,amber,vanilla",Etro,women,"ylang-ylang,lotus,water lily,rose hip plant",fruity,Vicolo Fiori,tangerine
68,"blond woods,ambroxan,cedar",Zara,men,"neroli,lotus",citrus,Vibrant Leather Summer,"bergamot,mandarin orange,ginger"
69,"cedar,musk,amber",Carthusia,women,"lily,jasmine,cyclamen",citrus,Via Camerelle,"lemon,marjoram,bergamot,orange"
70,"birch,oud,tobacco,amber,labdanum,caramel,sandalwood,patchouli,atlas cedar",Beaufort,unisex,"frankincense,opium poppy,whisky,red fruits,ylang-ylang",smoky,Vi Et Armis,"black pepper,cardamom,black tea,grapefruit"
71,"oakmoss,tabacco leaf,tonka beans,musk",Nicolai,men,"vetiver,ylang-ylang essence,cumin,black pepper,clove",aromatic,Vetyver,"petit grain essence,mandarin blossom,mint"
72,grapefruit,Heeley,unisex,haitian vetiver,woody,Vetiver Veritas,"lavender,mint"
73,"tobacco flower,amber",Etro,men,"bourbon vetiver,iris,gaiac wood",woody,Vetiver,"clary sage,sagebrush,bergamot,petitgrain"
74,"rose,lily",Carolina Herrera,women,"top notes,sour cherry,bitter almonds",woody,Very Good Girl Glam,vanilla absolute
75,"vetiver,vanilla",Carolina Herrera,women,rose,fruity,Very Good Girl,"red currant,litchi"
76,musk,Jeanne en Provence,women,"vervain,blood orange,bitter orange,mandarin orange,grapefruit",fresh,Verveine Cédrat,"citron,lemon,elemi resin"
77,cedar,L'Occitane en Provence,unisex,corsican verbena,citrus,Verveine Agrumes,"italian lemon,sicilian grapefruit,orange"
78,"petitgrain,lemon petitgrain",L'Occitane en Provence,unisex,"vervain,mandarin orange",citrus,Verveine,"citrus zest,geranium,lemon"
79,"vanilla,patchouli,sandalwood,leather,oud wood",Versace,women,"rose,freesia,heliotrope,cardamom note,saffron,violet flower,frankincense",oriental,Versace Pour Femme Oud Oriental,"pepper,orange,neroli"
80,"white musks,amber,sycamore",Versace,men,"sage,tarragon,cedar leaves",woody,Versace Man Eau Fraiche,"rosewood,lemon,carambola"
81,"cedar,vetiver,cashmeran,white musks,amber",Versace,women,"jasmine,orchid,lotus,azalea",floral,Versace,"lilac,guava,blackcurrant,wisteria,dew"
82,"white musk,tolu balm,sandalwood,heliotrope",Bienaimé,unisex,"iris,violet,rose,raspberry",powdery,Vermeil,"carrot seed,aldehydes"
83,"cedar,vetiver,tonka beans",Oriflame,men,"nutmeg,basil,damiana",aromatic,Venture,"lavender,mint,tangerine–orange aroma"
84,"vanilla,ambergris,benzoin,opoponax,moss,sandalwood,musk,civet",Yves Rocher,women,"jasmine,iris,ylang-ylang,carnation,patchouli",oriental,Venise,"bergamot,lemon,green notes,peach,rosewood"
85,"musk,vetiver,sandalwood,patchouli",Armaf,women,"pink pepper,vanilla,black currant",floral,Venice,"raspberry,gardenia,jasmine,rose"
86,"vanilla,sandalwood,styrax",Ex Nihilo,women,"davana,amber,rose absolute",oriental,Venenum Kiss,"nutmeg,neroli,saffron"
87,"incense,white musk,amber",Montale,unisex,"rose,violet",fruity,Velvet Fantasy,"fruity notes,sun notes,citrus fruit"
88,"vanilla,musk,amber",Armaf,women,"rose,magnolia,jasmine",citrus,Vanity Femme Essence,"bitter orange,peach,freesia,orange blossom"
89,"atlas cedar,tonka bean",Versace,women,tiare flower,floral,Vanitas,"freesia,sweet lime"
90,"vanilla,caramel",Ligne St Barth,women,vanilla blossom,gourmand,Vanille West Indies,"vanilla,orchid"
91,"vanilla,white musk",Molinard,unisex,"vanilla,benzoin",oriental,Vanille Patchouli,"patchouli,sandalwood"
92,"vanilla,ambroxan,musk",Les Parfums de Rosine,unisex,"cedar,cardamom,angelica,rose",spicy,Vanille Paradoxe,"juniper,rosemary,grapefruit"
93,white musk,Les Senteurs Gourmandes,unisex,vanilla,gourmand,Vanille Orientale,"caramel,ylang-ylang"
94,coconut,Les Senteurs Gourmandes,women,cocoa,floral,Vanille Monoï - Eau De Parfum,"tiare flower,vanilla orchid"
95,coriander,Atelier Cologne,unisex,lime,woody,Vanille Insensée,madagascar vanilla
96,citrus oil,Les Senteurs Gourmandes,women,raspberry,floral,Vanille Framboise - Eau De Parfum,vanilla infusion
97,"vanilla absolute,milk",Comptoir Sud Pacifique,women,"vanilla absolute,milk",gourmand,Vanille Extrême,"vanilla sugar,heliotrope"
98,"madagascar vanilla,white musk,amber,woody notes",Mancera,unisex,"indian tuberose,violet,egyptian jasmine",fruity,Vanille Exclusif,"white peach,osmanthus,whipped cream,brown sugar"
99,white musk,Les Senteurs Gourmandes,unisex,salted caramel,gourmand,Vanille De La Réunion,bourbon vanilla
100,"coconut milk,vanilla",Comptoir Sud Pacifique,women,"coconut milk,vanilla",gourmand,Vanille Coco,heliotrope
101,"white musks,red fruit",Les Senteurs Gourmandes,women,vanilla bourbon,aromatic,Vanille Bourbon - Eau De Parfum,"coconut,caramel"
102,"vanilla,rock sugar",Comptoir Sud Pacifique,women,"vanilla,rock sugar",gourmand,Vanille Abricot,"jackfruit,papaya,apricot"
103,sandalwood,Essential Garden,women,"vanilla,heliotrope",gourmand,Vanilla Affair,musk
104,woods,Farmacia SS. Annunziata,unisex,"strawberry,vanilla",gourmand,Vaniglia Del Madagascar,"mandarin orange,lemon"
105,orchid,Mazzolari,unisex,caramel,gourmand,Vaniglia,vanilla
106,"iris,vanilla,patchouli,tonka bean,leather",Valentino,men,"sage,juniper berry",leather,Valentino Uomo Intense,"nutmeg,mandarin orange"
107,"amber,sandalwood,musk",Swiss Arabian,unisex,"rose,jasmine,gardenia,peony",fruity,Valencia,"lemon,bergamot,apple"
108,"cedar,white musks",Versace,women,"jasmine,carnation,lily-of-the-valley,cinnamon",floral,V/S Versus,"lemon grass,sweet lime,mandarin,orange"
109,"heliotrope,cedar,sandalwood,oakmoss",Versace,women,"violet blossom,rose,iris,hyacinth",floral,V.E.,"rosewood,bergamot,lemon,mandarin"
110,"rose,italian cypress",Fresh,women,"lavender,wild mint",citrus,V-Tonic,"lemon,verbena"
111,"cedar,oakmoss,white musks,amber",Versace,men,"jasmine,rose,cyclamen,ozone",aromatic,V'S For Men,"lavender,coriander,orange,petitgrain"
112,"patchouli,musk,amber",Al Haramain,women,"jasmine,iris",fruity,Urbanist Femme Fragrance Gift Set,"apple,orange,pineapple,lemon"
113,"vanilla,honey,agar wood",Al Haramain,unisex,"sandalwood,caramel",oriental,Urbanist / Prive Silver,tobacco
114,"grey amber,leather",Jimmy Choo,men,"vetiver,rosewood",spicy,Urban Hero,"citrus caviar,black pepper"
115,"sandalwood,benzoin,musk,amber",Bond No. 9,unisex,"tuberose,champaca,osmanthus",oriental,Uptown Queens,"bergamot,blackberry,cardamom"
116,"amber,patchouli,musk,maté",Bond No. 9,women,"jasmine,peony,rose,rosewater",oriental,Uptown Perfumista Avenue,"nutmeg,artemisia,saffron,plum"
117,"amber,cedar,artemisia,sun notes",Moschino,men,"cyclamen,cinnamon,sage",floral,Uomo?,"wood,hedione,coriander"
118,"sandalwood,patchouli,musk,vetiver,oakmoss,brasilian rose wood,cedar,rosemary",Lorenzo Villoresi,unisex,"thyme,sage,juniper,neroli,cumin,pepper",aromatic,Uomo,"bergamot,lemon,orange,lavender,coriander,elemi,bay leaf,petitgrain"
119,"frankincense,vetiver,tonka bean,fir balsam,labdanum,patchouli,vanilla",Filippo Sorcinelli,unisex,"clove,peach",smoky,Unum - _Quando_Rapita_In_Estasi_,"frankincense,cedarwood,lily of the valley"
120,"patchouli,frankincense,cashmere wood,gaiac wood,sandalwood",Filippo Sorcinelli,unisex,"orange blossom,scots pine,clove,mastic,amyris",smoky,Unum - Reliqvia,"elemi resin,orange,blackcurrant,nutmeg,smoke,tobacco"
121,"opoponax,oakmoss,brazilian rosewood,amber,tonka bean",Filippo Sorcinelli,unisex,"elemi resin,labdanum,clove,coriander",woody,Unum - Lavs,"black pepper,cardamom,jasmine"
122,"sandalwood,amber,musk,benzoin,oakmoss,vanilla,cedar",Roccobarocco,women,"carnation,tuberose,orchid,jasmine,ylang-ylang,rose,daffodil",floral,Uno,"floral notes,green notes,bergamot,peach,lemon"
123,"myrrh,sandalwood,vanilla,white musk",Une Nuit Nomade,women,"linen,white flowers absolute",gourmand,Une Nuit À Oman - Sun Bleached,"bergamot,cardamom,ambrette seed absolute"
124,white musk,Mauboussin,women,"rose,freesia",fruity,Une Histoire De Femme Sensuelle,praline
125,"vanilla,sandalwood,white musks",Frédéric Malle,unisex,"jasmine,carnation,cassie",floral,Une Fleur De Cassie,"mimosa absolute,rose absolute"
126,woody notes,Sapil,men,spicy notes,citrus,Under Cover,citrus fruit
127,"woody notes,tonkin musk",Yves Rocher,women,"fruity notes,rose",fresh,Un Matin Au Jardin - Rose Fraîche,"bergamot,grapefruit,mandarin orange"
128,balsamic notes,Yves Rocher,women,"lilac,powdery notes",floral,Un Matin Au Jardin - Lilas Mauve,green notes
129,sweet notes,Yves Rocher,women,"neroli,thyme",citrus,Un Matin Au Jardin - Agrumes En Fleurs,"mandarin orange,orange"
130,"tobacco,suede accord,iris root,ambroxan",Maison Violet ,unisex,"jasmine,mimosa,hay",floral,Un Air D’Apogée,clary sage
131,"oakmoss,patchouli",Paco Rabanne,men,"ambergris,black pepper",aromatic,Ultraviolet Man,"mint,coriander"
132,"madagascar vanilla,ambergris",Paco Rabanne,women,"chinese osmanthus,jasmine sambac",oriental,Ultraviolet,"chilli pepper,blackberry"
133,"amber,black vanilla,cedarwood,patchouli",jean-paul gaultier,men,"clary sage,cinnamon,cumin,black aztec flower",oriental,Ultra Male Eau De Toilette Intense,"pear,mint,bergamot,black lavander"
134,cedar,Miu Miu,women,amber,fruity,Twist,"tangerine,apple blossom"
135,"lime,patchouli,sandalwood,vetiver",Iceberg,men,"tarragon,jasmine,lavender,thyme",aromatic,Twice Pour Homme,"lemon,mint,yuzu"
136,"tonka beans,oakmoss",Iceberg,men,"cedar,wood,resin",aromatic,Twice Nero,"mint,orange"
137,"ambergris,sandalwood",Jenny Glow,men,violet leaf,citrus,Tweed,"iris,lemon verbena"
138,"amber,woods,leather,black suede",Tom Ford,unisex,"jasmine,frankincense",leather,Tuscan Leather,"raspberry,saffron,thyme"
139,"blackcurrant,vanilla",Escada,women,floral notes,fruity,Turquoise Summer,"pineapple,strawberry,fruits"
140,"vanilla,patchouli,amber",Afnan,men,"rose,black pepper",spicy,Turathi Brown Homme,"coriander,violet leaves,bergamot"
141,"vanilla,vetiver,amber,green moss",Fresh,unisex,"tuberose,cucumber,mandarin,turkish rose",floral,Tuberosa,"bergamot,nectarine,asian pear"
142,"amberwood,patchouli,sandalwood,musk",Molinard,women,"tuberose,jasmine",oriental,Tubereuse Vertigineuse,coconut
143,"suede,tuberose,cocoa",Histoires De Parfums,women,"ylang-ylang,tuberose",oriental,Tubereuse 1 Capricieuse,"saffron,bergamot,tuberose"
144,"amber,oakmoss,coconut,leather,musk,patchouli,sandalwood,tonka bean,vetiver,cedar",Van Cleef & Arpels,men,"tarragon,geranium,jasmine,lily of the valley,carnation,pepper,pine,rose,juniper",chypre,Tsar,"artemisia,bergamot,coriander,lavender,neroli,rosemary"
145,"amber,musk,sandalwood,vanilla,apricot,peach",Lancôme,women,"heliotrope,jasmine,rose,iris",oriental,Trésor,"peach,apricot blossom,rose,lilac,pineapple,lily of the valley,bergamot"
146,"vanilla,amber",Boucheron,women,"lotus,airy notes",oriental,Trouble Eau Légère Ed 2006,"bergamot,fresh notes"
147,"precious wood,vanilla amber,blue cedar",Boucheron,women,jasmine,oriental,Trouble,"lemon,digitalis"
148,"amber,woods",Yves Rocher,men,seawater,aquatic,Transat,rosemary
149,"cedar,amber,balsamic notes",Ducati,men,"nutmeg,pimento - jamaica pepper,violet leaves",woody,Trace Me,"pepper,pineapple,apple"
150,"haitian vetiver,ambermax,sylkolide",Moschino,men,"rose,cashmeran,flax blossom,magnolia",spicy,Toy Boy,"elemi,clove,nutmeg,italian bergamot,pear,pink berries"
151,"cedar wood,ambroxan,musk",Moschino,women,"bubble gum,cinnamon,blueberry,ginger,bulgarian rose,peach,peach blossom",oriental,Toy 2 Bubble Gum,"citrus fruit,italian lemon,italian orange"
152,"sandalwood,musk,amberwood",Moschino,women,"white currant,peony,jasmine",floral,Toy 2,"granny smith apple,magnolia,tangerine"
153,"musk,sandalwood,vanilla",Lacoste,women,"violet leaves,jasmine,coriander,cardamom",fruity,Touch Of Pink,"cardamom,coriander,orange,peach,blood orange"
154,"white musk,vetiver,tonka beans",Burberry,men,"cedar,white pepper,nutmeg",floral,Touch For Men,"violet leaves,tangerine,artemisia"
155,"cedar,sandalwood,vetiver,white musks",Tory Burch,women,"jasmine,tuberose,mimosa,peony,carrot",floral,Tory Burch,"bergamot,mandarin,grapefruit,blackcurrant,pink peppercorn,neroli"
156,"amber,cedarwood,fir balsam,birch,cistus",Beaufort,men,"lime,grapefruit,bergamot,woods",smoky,Tonnerre,"gun powder,lemon,bergamot,ginger,brandy,blood,spindrift,cypress"
157,"tonka beans,vanilla,musk",Reminiscence,women,"honey,bitter almonds,labdanum,jasmine",oriental,Tonka,"clove,anise,bergamot"
158,"patchouli,cedar,vetiver,benzoin",Kolmaz,men,"pepper,pelargonium",spicy,Tonic 69,"orange,grapefruit"
159,"balsamic notes,oud,musk",Bait Al Bakhoor,unisex,"labdanum,amber,spices",oriental,Tohfa Black,"saffron,rose,agar wood"
160,hibiscus,Avon,women,"top notes,vanilla absolute",woody,Today Tomorrow Always Today,vanilla absolute
161,"amber,musk,vanilla,tonka beans,roasted almond",Rochas,women,"jasmine,rose,lily of the valley,iris,geranium",oriental,Tocade,"green notes,freesia,bergamot"
162,"dried fruits,woody notes",Just Jack,unisex,"tonka beans,tobacco flower,vanilla,cocoa",aromatic,Tobacco Leaf,"tobacco,spicy notes"
163,"eucalyptus,white musks,mint leaves,elder",Fresh,men,"blackcurrant,tobacco flower,linden blossom",aromatic,Tobacco Flower,"orange blossom,bergamot,ivy"
164,"musk,wood",Police,women,sweet notes,fruity,To Be Woman,"lime,clementine,apple"
165,"suede,patchouli,vanilla",Police,women,"osmanthus,jasmine,heliotrope",oriental,To Be Exotic Jungle,"lemon,black currant,plum"
166,"sequoia,vetiver,cedar",Tiffany & Co.,women,neroli,floral,Tiffany & Love,"basil,grapefruit"
167,"patchouli,musk",Tiffany & Co.,women,"rose,iris,black currant,peach",floral,Tiffany & Co.,"bergamot,lemon,tangerine"
168,"amber,musk,patchouli",Histoires de Parfums,unisex,"honey,geranium",synthetic,This Is Not A Blue Bottle 1.1,"aldehydes,orange"
169,"cedar,patchouli",Zadig & Voltaire,men,"cardamom,incense",aromatic,This Is Him! Vibes Of Freedom,"lavender,tangerine"
170,sandalwood,Zadig & Voltaire,men,"frankincense,vanilla",oriental,This Is Him!,grapefruit
171,"chestnut,whipped cream",Zadig & Voltaire,women,"jasmine,rose",fruity,This Is Her! Vibes Of Freedom,"pear,peony"
172,sandalwood,Zadig & Voltaire,women,"chestnut,vanilla",floral,This Is Her!,jasmine
173,"musk,tonka beans",Sensai,women,"amber,orchid,peony",oriental,The Silk Edt,"bergamot,pink pepper,pear,violet leaves"
174,"musk,tonka beans",Sensai,women,"amber,orchid,peony",oriental,The Silk Edp,"bergamot,pear,violet leaves,pink pepper"
175,"sandalwood,vanilla,tonka beans",Armaf,men,"cinnamon,nutmeg,oakmoss",oriental,The Pride Of Armaf,"bergamot,lemon,lemon verbena"
176,"tonka beans,patchouli,amber",Dolce & Gabbana,women,"violet,coffee,rose",oriental,The Only One 2,"pear,freesia,berries"
177,"sandalwood,cedar,amber,labdanum",Dolce & Gabbana,men,"wild pear wood,nutmeg",oriental,The One Royal Night,"cardamom,basil"
178,"amber,precious woods,labdanum,tonka beans",Dolce & Gabbana,men,"rose,agar wood,clary sage",spicy,The One Mysterious Night,"saffron,grapefruit"
179,"vetiver,patchouli,labdanum,tobacco",Dolce & Gabbana,men,"lavandin,geranium,nutmeg",spicy,The One Grey,"grapefruit,coriander,basil,cardamom"
180,"cedar,tobacco,amber",Dolce & Gabbana,men,"cardamom,ginger,orange blossom",oriental,The One For Men,"basil,coriander,grapefruit"
181,"vanilla,musk,vetiver,plum,amber",Dolce & Gabbana,women,"jasmine,lily of the valley,lily",oriental,The One,"bergamot,peach,litchi,tangerine"
182,"oud,leather accord",Frédéric Malle,unisex,"oliban,turkish rose",oriental,The Moon By Julien Rasquinet,"raspberry,lychee,saffron"
183,"moss,vinylguaiacol,orcanox",Etat Libre d'Orange,unisex,"jasmine absolute,mugane,sensual skin accord",synthetic,The Ghost In The Shell,"aqual,yuzu,hexyl acetate"
184,warm notes,Philosophy,women,clean note,citrus,The Fragrance,citrusy notes
185,"nagarmotha (cypriol),tonka beans,patchouli",Mandarina Duck,unisex,"lily of the valley,rose,osmanthus",floral,The Duckers Resort Lovers,"aldehydes,bergamot,violet leaves"
186,"cedar,balsam fir,vetiver,tonka bean",Versace,men,"geranium,carnation,rose,tobacco",oriental,The Dreamer,"clary sage,lavender,mace,mandarin"
187,"amber,sandalwood,white musk",Asombroso by Osmany Laffita,men,"patchouli,cedar wood",spicy,The Dream,"bergamot,pepper,lime,water notes"
188,"virginia cedar,benzoin,patchouli,amberwood,vanilla,white musk",Alexandre.J,women,"plum,bulgarian rose,jasmine",oriental,The Collector: Altesse Mysore,"pink pepper,elemi,ambroxan"
189,"patchouli,white musks,woody notes",One Direction,women,"jasmine,violet leaves,frangipani blossom",floral,That Moment,"apple,grapefruit"
190,"macarons,musk",Ariana Grande,women,"coconut,pink rose",fruity,Thank U Next,"raspberry,pear"
191,"benzoin,stone,haitian vetiver,labdanum absolute,myrrh",Beaufort,unisex,"somalian frankincense,kyphi,papyrus,tobacco absolute",smoky,Terror & Magnificence,"birch tar,black pepper,saffron"
